"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Beckage_Netlogo7_butterfliesObs_sol.nlogox"
"q to maximize neighbors"
"05/05/2026 09:42:15:571 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","exportCorridorWidth?","ButterFliesAtOrigin?","ImportElevationData?","q","[step]","mean-Neighbors"
"323","false","false","true","0.32","999","11.86"
"324","false","false","true","0.32","999","9.968"
"322","false","false","true","0.32","999","9.524"
"325","false","false","true","0.32","999","10.172"
"326","false","false","true","0.32","999","11.872"
"327","false","false","true","0.32","999","11.212"
"329","false","false","true","0.32","999","10.42"
"328","false","false","true","0.32","999","11.672"
"330","false","false","true","0.32","999","9.368"
"331","false","false","true","0.33","999","10.288"
"332","false","false","true","0.33","999","11.208"
"334","false","false","true","0.33","999","10.856"
"333","false","false","true","0.33","999","12.012"
"335","false","false","true","0.33","999","11.248"
"337","false","false","true","0.33","999","11.232"
"336","false","false","true","0.33","999","11.6"
"339","false","false","true","0.33","999","11.948"
"338","false","false","true","0.33","999","9.368"
"340","false","false","true","0.33","999","10.316"
"342","false","false","true","0.34","999","12.244"
"341","false","false","true","0.34","999","12.792"
"345","false","false","true","0.34","999","10.968"
"344","false","false","true","0.34","999","12.588"
"343","false","false","true","0.34","999","11.656"
"346","false","false","true","0.34","999","11.364"
"347","false","false","true","0.34","999","10.38"
"348","false","false","true","0.34","999","10.48"
"350","false","false","true","0.34","999","11.968"
"352","false","false","true","0.35","999","11.824"
"351","false","false","true","0.35","999","12.884"
"353","false","false","true","0.35","999","12.932"
"349","false","false","true","0.34","999","11.932"
"354","false","false","true","0.35","999","12.256"
"355","false","false","true","0.35","999","10.804"
"356","false","false","true","0.35","999","11.116"
"357","false","false","true","0.35","999","12.536"
"358","false","false","true","0.35","999","10.396"
"360","false","false","true","0.35","999","10.936"
"359","false","false","true","0.35","999","12.052"
"362","false","false","true","0.36","999","11.248"
"361","false","false","true","0.36","999","12.76"
"364","false","false","true","0.36","999","11.892"
"363","false","false","true","0.36","999","12.42"
"365","false","false","true","0.36","999","12.664"
"367","false","false","true","0.36","999","11.284"
"366","false","false","true","0.36","999","11.064"
"368","false","false","true","0.36","999","11.924"
"371","false","false","true","0.37","999","11.5"
"369","false","false","true","0.36","999","11.852"
"370","false","false","true","0.36","999","12.748"
"372","false","false","true","0.37","999","13.292"
"373","false","false","true","0.37","999","10.684"
"374","false","false","true","0.37","999","15.004"
"375","false","false","true","0.37","999","12.932"
"376","false","false","true","0.37","999","13.52"
"378","false","false","true","0.37","999","11.368"
"377","false","false","true","0.37","999","13.26"
"379","false","false","true","0.37","999","13.22"
"381","false","false","true","0.38","999","12.96"
"380","false","false","true","0.37","999","13.016"
"385","false","false","true","0.38","999","12.408"
"383","false","false","true","0.38","999","14.584"
"382","false","false","true","0.38","999","12.896"
"384","false","false","true","0.38","999","15.724"
"387","false","false","true","0.38","999","12.94"
"386","false","false","true","0.38","999","12.908"
"388","false","false","true","0.38","999","12.992"
"389","false","false","true","0.38","999","11.024"
"391","false","false","true","0.39","999","14.244"
"392","false","false","true","0.39","999","10.424"
"394","false","false","true","0.39","999","13.528"
"390","false","false","true","0.38","999","12.5"
"393","false","false","true","0.39","999","15.424"
"398","false","false","true","0.39","999","12.988"
"395","false","false","true","0.39","999","12.144"
"397","false","false","true","0.39","999","12.596"
"399","false","false","true","0.39","999","14.412"
"396","false","false","true","0.39","999","12.648"
"400","false","false","true","0.39","999","13.1"
"401","false","false","true","0.4","999","15.868"
"403","false","false","true","0.4","999","14.02"
"404","false","false","true","0.4","999","14.096"
"402","false","false","true","0.4","999","14.568"
"407","false","false","true","0.4","999","12.42"
"406","false","false","true","0.4","999","13.328"
"409","false","false","true","0.4","999","15.332"
"408","false","false","true","0.4","999","12.944"
"410","false","false","true","0.4","999","13.192"
"405","false","false","true","0.4","999","12.536"
"411","false","false","true","0.41","999","14.976"
"412","false","false","true","0.41","999","14.504"
"413","false","false","true","0.41","999","14.896"
"415","false","false","true","0.41","999","12.736"
"414","false","false","true","0.41","999","18.108"
"417","false","false","true","0.41","999","13.248"
"416","false","false","true","0.41","999","15.12"
"418","false","false","true","0.41","999","12.708"
"421","false","false","true","0.42","999","13.244"
"419","false","false","true","0.41","999","14.068"
"420","false","false","true","0.41","999","13.26"
"423","false","false","true","0.42","999","14.152"
"422","false","false","true","0.42","999","14.092"
"425","false","false","true","0.42","999","14.888"
"424","false","false","true","0.42","999","13.804"
"426","false","false","true","0.42","999","14.092"
"427","false","false","true","0.42","999","14.728"
"428","false","false","true","0.42","999","13.96"
"429","false","false","true","0.42","999","14.612"
"431","false","false","true","0.43","999","14.096"
"430","false","false","true","0.42","999","13.232"
"432","false","false","true","0.43","999","15.364"
"433","false","false","true","0.43","999","13.356"
"436","false","false","true","0.43","999","13.392"
"434","false","false","true","0.43","999","14.484"
"437","false","false","true","0.43","999","16.044"
"435","false","false","true","0.43","999","14.608"
"438","false","false","true","0.43","999","13.82"
"439","false","false","true","0.43","999","13.624"
"440","false","false","true","0.43","999","12.752"
"442","false","false","true","0.44","999","17.616"
"444","false","false","true","0.44","999","14.82"
"441","false","false","true","0.44","999","15.06"
"443","false","false","true","0.44","999","14.968"
"445","false","false","true","0.44","999","12.924"
"446","false","false","true","0.44","999","15.336"
"450","false","false","true","0.44","999","15.128"
"448","false","false","true","0.44","999","14.708"
"447","false","false","true","0.44","999","16.892"
"451","false","false","true","0.45","999","17.364"
"452","false","false","true","0.45","999","16.408"
"449","false","false","true","0.44","999","14.496"
"453","false","false","true","0.45","999","17.756"
"454","false","false","true","0.45","999","14.224"
"456","false","false","true","0.45","999","16.28"
"455","false","false","true","0.45","999","13.82"
"458","false","false","true","0.45","999","14.84"
"457","false","false","true","0.45","999","18.18"
"459","false","false","true","0.45","999","13.8"
"460","false","false","true","0.45","999","13.764"
"463","false","false","true","0.46","999","17.444"
"461","false","false","true","0.46","999","16.12"
"462","false","false","true","0.46","999","16.776"
"464","false","false","true","0.46","999","19.52"
"465","false","false","true","0.46","999","17.932"
"466","false","false","true","0.46","999","15.14"
"467","false","false","true","0.46","999","15.616"
"469","false","false","true","0.46","999","14.872"
"468","false","false","true","0.46","999","16.836"
"471","false","false","true","0.47","999","18.076"
"470","false","false","true","0.46","999","14.544"
"473","false","false","true","0.47","999","17.428"
"472","false","false","true","0.47","999","15.04"
"475","false","false","true","0.47","999","16.356"
"474","false","false","true","0.47","999","15.48"
"477","false","false","true","0.47","999","17.124"
"476","false","false","true","0.47","999","13.748"
"478","false","false","true","0.47","999","14.872"
"480","false","false","true","0.47","999","13.708"
"482","false","false","true","0.48","999","13.244"
"479","false","false","true","0.47","999","16.484"
"481","false","false","true","0.48","999","15.936"
"483","false","false","true","0.48","999","15.384"
"484","false","false","true","0.48","999","17.004"
"486","false","false","true","0.48","999","15.144"
"485","false","false","true","0.48","999","17.492"
"487","false","false","true","0.48","999","18.012"
"488","false","false","true","0.48","999","17.68"
"491","false","false","true","0.49","999","17.268"
"492","false","false","true","0.49","999","15.4"
"490","false","false","true","0.48","999","14.512"
"489","false","false","true","0.48","999","18.184"
"493","false","false","true","0.49","999","16.972"
"496","false","false","true","0.49","999","16.28"
"495","false","false","true","0.49","999","16.76"
"494","false","false","true","0.49","999","15.7"
"497","false","false","true","0.49","999","14.188"
"498","false","false","true","0.49","999","15.044"
"499","false","false","true","0.49","999","14.1"
"500","false","false","true","0.49","999","15.384"
"502","false","false","true","0.5","999","17.88"
"501","false","false","true","0.5","999","15.872"
"503","false","false","true","0.5","999","18.3"
"506","false","false","true","0.5","999","18.036"
"505","false","false","true","0.5","999","17.532"
"509","false","false","true","0.5","999","16.664"
"507","false","false","true","0.5","999","17.256"
"508","false","false","true","0.5","999","15.524"
"504","false","false","true","0.5","999","17.928"
"510","false","false","true","0.5","999","17.54"
"512","false","false","true","0.51","999","16.236"
"513","false","false","true","0.51","999","17.04"
"511","false","false","true","0.51","999","15.48"
"514","false","false","true","0.51","999","16.328"
"516","false","false","true","0.51","999","16.728"
"515","false","false","true","0.51","999","16.416"
"518","false","false","true","0.51","999","16.684"
"517","false","false","true","0.51","999","15.788"
"519","false","false","true","0.51","999","16.336"
"520","false","false","true","0.51","999","17.036"
"522","false","false","true","0.52","999","18.132"
"521","false","false","true","0.52","999","15.208"
"524","false","false","true","0.52","999","17.24"
"526","false","false","true","0.52","999","15.46"
"523","false","false","true","0.52","999","17.98"
"525","false","false","true","0.52","999","16.74"
"527","false","false","true","0.52","999","15.14"
